"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Svop",1.7953237909215,-3.14538648804504,1.1157527597978,-2.8190712148586,0.00481628312712254,0.0418480976409856
"Cxcr2",43.6096195290933,2.67944091216755,0.950997407071108,2.81750601236624,0.00483982085284722,0.0420123337920766
"Pim2",199.139432451916,0.869960912211347,0.308754961082275,2.81764189039063,0.00483777338308038,0.0420123337920766
"Mfge8",5567.53586807648,0.864847726667305,0.306995291250046,2.81713678130291,0.00484538854925001,0.0420405301365038
"Saa4",82.6459813683103,0.71768114112175,0.254802104712335,2.81662171484806,0.00485316500212677,0.0420878543844726
"Scgb3a1",8.98497438347287,1.19548724190498,0.424482000042786,2.81634378320984,0.00485736589171522,0.0421041400226391
"Fam136a",609.623923469401,0.259494603063333,0.0921690940666657,2.81541883091138,0.00487137009184074,0.0422053455614787
"4932415G12Rik",320.906555447206,-0.445206513051965,0.158213999137757,-2.81395145485402,0.00489366178558859,0.0423452797325752
"Pnma2",1.29255965275491,-2.48372874394279,0.882574849883847,-2.81418481873766,0.00489011047082288,0.0423452797325752
"Scgb1b3",41.0815396358483,-2.33733610271266,0.830641013204318,-2.81389440872423,0.0048945302642618,0.0423452797325752
"Mettl7a1",712.597606038728,-0.86067327666467,0.305966728652204,-2.81296362011638,0.00490872043721741,0.0424073202690971
"Asb6",921.887540832443,0.16550103174069,0.0588309736023925,2.81316153050983,0.00490570011807459,0.0424073202690971
"Gm9054",5.26460997678148,1.21843372754951,0.433144449125611,2.81299628798006,0.00490822177564781,0.0424073202690971
"Epsti1",461.91307496956,1.21301288977622,0.431280373056462,2.81258542135748,0.00491449682369863,0.0424369961550918
"Blk",172.115944110819,2.47884119192012,0.881580740846593,2.81181413915605,0.00492629599550559,0.0425186261516851
"Yod1",122.946230752176,0.265840348740487,0.0945997921164453,2.81015785334134,0.00495172069732864,0.0426974013506572
"Sgip1",7.26975559331796,-1.55659316517403,0.553907080864905,-2.81020629442662,0.00495097542432,0.0426974013506572
"Erc1",549.143416286265,0.348221674079744,0.123932766723341,2.80976277127009,0.00495780288066253,0.0427295184079926
"Kdm5c",3249.59126338786,0.274995623933735,0.0979004527256438,2.80893107516452,0.00497062870795078,0.0428196983515247
"Atp2b1",2444.16257234615,0.283013636885484,0.100763092338019,2.80870336865099,0.004974145464562,0.0428296373136276
"Cct2",4529.99147293481,0.156036087996181,0.0555829559953178,2.80726501860256,0.00499641174755667,0.0430009320628987
"Ppat",564.092357002097,0.322713329912169,0.115032220335325,2.80541685600297,0.00502515439900642,0.0432277757389613
"Gbp10",40.7143109473786,1.5762026364798,0.561929137514309,2.80498470581563,0.00503189673312864,0.0432652411233191
"Cyp2c69",43.3190833607339,-1.19835325493418,0.427407088545649,-2.80377487189522,0.00505081587939472,0.0433944187993679
"Acvr2a",557.782392705594,0.287892842388632,0.102682529421462,2.8037178672038,0.00505170889195401,0.0433944187993679
"Plaa",1116.66937269126,0.140541120984197,0.0501341677627759,2.80330016944147,0.00505825673312866,0.0434300820880895
"Stmn3",14.6164021558179,-1.73673108070744,0.619608104774998,-2.80295087705172,0.00506373813945596,0.0434565595538065
"C1qtnf7",32.6235863041769,-0.768940418556872,0.274375967171578,-2.80250645303794,0.00507072019812514,0.0434958843308179
"Orc2",531.975419474079,0.167163289652228,0.0596535212708889,2.8022367513417,0.00507496154928917,0.0435116736427938
"Bcas1",100.367753906698,1.35738255725345,0.484537706555003,2.80139716453495,0.0050881854994245,0.0435880703366646
"Pgm1",980.967460948008,0.384310126844369,0.137186704127365,2.80136569566955,0.00508868175626936,0.0435880703366646
"Dut",478.062831400653,0.464990483182336,0.166036071300962,2.8005389403576,0.00510173518288699,0.0436662286269547
"Gpr83",12.4023929720202,3.26034294144195,1.16420750359612,2.80048267286637,0.0051026246748629,0.0436662286269547
"Nvl",476.056935416984,-0.181177185488306,0.0647205271111893,-2.79937747072185,0.00512012445514299,0.0437746489384277
"Zbtb3",39.2744027910827,0.471627290841339,0.168472368443118,2.79943408643048,0.0051192266850134,0.0437746489384277
"Dnajc13",1053.21420494573,0.214810199357655,0.0767472393305226,2.79893063557042,0.00512721503225633,0.0438146027626808
"A530013C23Rik",29.8894750265084,-0.61223258190491,0.218752054604971,-2.79875123006501,0.00513006441391815,0.0438182928851397
"Tinf2",611.212819382872,0.258150996822991,0.0922480598550664,2.79844364454472,0.00513495292624509,0.0438393885012681
"Zfand1",769.144905252632,-0.34491690812033,0.123351350077936,-2.79621510346181,0.00517049747036277,0.0441220652779309
"Acsf3",585.506871720665,-0.289456575303455,0.103529779199691,-2.79587745227529,0.00517590225527349,0.0441474015890974
"Plxnc1",204.757003135681,1.21876649000376,0.435945938492487,2.79568263491176,0.00517902302024354,0.0441532418823679
"Cdh24",56.2504735584316,0.967189941478513,0.346044447543175,2.79498760446904,0.00519017051977951,0.0442274756328179
"Tnfrsf1a",2278.06410470341,-0.206456364830573,0.0738775013411125,-2.79457698328626,0.00519676660123066,0.0442628734244857
"Gm10509",112.471263402628,0.291244290710203,0.104223688211183,2.79441550869002,0.00519936254944876,0.0442641832826485
"Ccdc90a",1078.1836152778,-0.356849144074779,0.127735805386254,-2.79365008891375,0.00521168377689599,0.044331251110952
"Apbb1",176.044627989716,-0.44971845023927,0.16098040748857,-2.79362226282847,0.00521213219958282,0.044331251110952
"Tnfaip8l1",79.4795212202496,0.922117639291284,0.330145374848247,2.79306544795649,0.00522111270897966,0.0443724510927131
"Ophn1",286.80786005452,-0.293049474133555,0.10492214303248,-2.79301838166646,0.00522187245135212,0.0443724510927131
"Ephx1",4258.26734557332,-0.373400327648598,0.133741053323714,-2.7919649080735,0.00523890374296683,0.0444805013881749
"Dab1",16.2642357041431,1.32577105245641,0.474858558236686,2.79192831098896,0.00523949630144847,0.0444805013881749
"A730020E08Rik",31.232645178307,-0.635348563250596,0.227597229516248,-2.7915478786847,0.00524565962483054,0.0445119759831711
"Slc35g2",165.509854860031,-1.0207004008553,0.365702597379233,-2.79106686189827,0.00525346187724918,0.0445573217244461
"AB099516",2.26283046545802,1.85328413087923,0.664071915378151,2.79078829861957,0.00525798505837997,0.04455741242124
"Elovl6",1070.533163453,-1.01234271317933,0.362747593409461,-2.79076341668963,0.00525838925070523,0.04455741242124
"Zfp82",70.2934632197189,-0.554599948425456,0.198815590150463,-2.78951941347123,0.0052786331683906,0.0447080496154577
"Smim12",422.900820105699,0.313415373471038,0.112505514593215,2.78577787590457,0.00533994495081786,0.0452062130936823
"Ppp1r16b",313.565168347376,1.49703106380548,0.537486301559186,2.78524505547911,0.00534872828531761,0.0452594305188523
"Gsg2",53.8172258290107,1.21799371351121,0.437541569345161,2.78372113382073,0.00537392159771658,0.0454513900880135
"Tnfrsf4",64.9260478718399,1.24282796584828,0.44666653069025,2.78245151685686,0.00539499253864291,0.045608320784936
"Tyw1",767.683257971115,-0.201192173041897,0.072314683400274,-2.78217595074384,0.00539957575671166,0.0456257858230298
"Tsr1",875.500988600813,0.509552074510253,0.183194493276005,2.78148139388966,0.00541114323337145,0.0456596699743285
"Slc25a41",2.38832093690474,1.53626114684663,0.552296986316841,2.78158524291731,0.00540941226148143,0.0456596699743285
"Zfp35",391.285713579268,0.232855992008992,0.0837121095858588,2.78162852615923,0.00540869095722956,0.0456596699743285
"Snx15",493.258995308346,0.204153118207938,0.0734140276431394,2.78084617833955,0.00542174199480373,0.0457278146374209
"Gdap2",433.52003530784,0.323155565051308,0.11624468295512,2.77995996751156,0.00543656000166132,0.0458314651302844
"Mrpl14",1697.07818596755,0.43463657051357,0.156460790422072,2.77792646541722,0.00547069973343651,0.0460978301573858
"Zfp28",142.790379295615,-0.323731556369867,0.116555717678438,-2.77748327424828,0.00547816594517108,0.0461392926376514
"Gzmg",10.3199555227149,1.84415429036294,0.664057092736037,2.77710201507628,0.00548459617870052,0.0461719952340673
"Mthfr",1312.77342203345,-0.484577166790174,0.174522626838365,-2.77658648376274,0.00549330185076378,0.0462023647541037
"Mlxipl",407.014107941051,-0.663543244245879,0.238974326105375,-2.77662983743824,0.00549256926605746,0.0462023647541037
"Pnpla2",4575.13533086751,-0.477384432163571,0.171976668495559,-2.77586742631835,0.00550546525739967,0.0462831900697444
"Creld2",2718.428733032,0.699650153216971,0.252070724048565,2.7756105190628,0.00550981693049156,0.0462982994275194
"Grik5",409.227612275617,-0.390121533810426,0.140605468881008,-2.77458292991845,0.00552725400621724,0.0464232988242296
"Hectd2",35.7451336458429,0.584073212418511,0.210522543835985,2.77439746725441,0.0055304064069998,0.0464282612908158
"Ythdf1",1613.84802286846,0.228609654229871,0.0824427786234821,2.77294940863088,0.00555507562224509,0.0466137711357372
"Phf23",1158.7599190116,0.233669490580229,0.0842736322650171,2.77274735050464,0.0055585257801529,0.0466211382532491
"Homer1",311.147120599929,0.331132533148222,0.119554605012093,2.76971793026901,0.00561048569572145,0.0469959627332526
"Slc7a11",70.5906051192626,1.46463849879306,0.528809841354087,2.76968842910083,0.00561099384026254,0.0469959627332526
"Upf3b",1092.80450032349,-0.251770139838895,0.0908950343980318,-2.76989982463054,0.00560735356305643,0.0469959627332526
"Ints8",770.211460852557,0.153399221510886,0.0554035637706842,2.7687609076161,0.00562699117633346,0.0471081824808517
"Gbe1",830.088376890918,-0.533639982518175,0.19275252896716,-2.76852389630173,0.00563108560082423,0.0471206955285961
"Dnajc17",174.891283216276,-0.311000095109841,0.112422347370859,-2.76635475404114,0.00566868307381016,0.0473915501442846
"Agbl3",90.2820926502666,-0.354664857744273,0.128201856817585,-2.76645648158525,0.00566691479485409,0.0473915501442846
"Pphln1",638.034269051952,0.171882016568466,0.0621532578296538,2.76545466111447,0.00568435063574196,0.0474350162397896
"Zfp407",404.163665833296,0.265682277994305,0.0960672992435093,2.76558496061036,0.00568208014872093,0.0474350162397896
"2310034G01Rik",30.1188699199561,-0.538536438636015,0.194726077135432,-2.76561026935013,0.0056816392352594,0.0474350162397896
"Tbxas1",86.0192804880585,-0.603627177836289,0.218245291220345,-2.76581993802036,0.00567798770194291,0.0474350162397896
"Tcf15",45.4800198835879,-1.17595504996951,0.425377993770119,-2.76449432549868,0.0057011098758019,0.0475529758393509
"Pop4",322.563385349896,-0.2939145579511,0.106341150768986,-2.76388355613713,0.00571179185261437,0.0476201597647817
"Lrrc48",36.6210503282814,-0.910278014663744,0.329453721441213,-2.76299205448851,0.00572741606679283,0.047695639632767
"Ifnar1",1303.30841451257,0.382608932237975,0.138480085951749,2.76291662883058,0.00572873972306393,0.047695639632767
"Clec2i",60.8682838316731,2.00829477216696,0.72683696255668,2.76306087283,0.00572620860395494,0.047695639632767
"Ppm1h",1236.3625878597,-0.259610456237943,0.0939760692645064,-2.76251665205575,0.00573576358750246,0.0477321923891103
"BC022687",107.825512961531,0.446168044210059,0.161516671640501,2.76236526965543,0.00573842399075646,0.0477324161690963
"Rrm1",721.883642705419,0.343295848826798,0.124299883944224,2.76183563438275,0.00574774059188326,0.047787980838479
"Arl5b",262.955154884242,0.472400706683634,0.171092311238453,2.76108670964907,0.00576093790674477,0.0478757448692109
"Cnppd1",1890.54889486348,-0.204998584493137,0.0742726331632145,-2.76008235823081,0.00577867916138718,0.0480011731439701
"Galnt10",3566.12264440943,-0.707694797420666,0.256425749816882,-2.75984294840141,0.00578291545436906,0.0480143575860922
"Cbl",161.488396976192,0.625471140635604,0.226705309505662,2.75896114651864,0.00579854286462252,0.0481220647533348
"Zfp106",7170.80721035169,0.406981122349898,0.147533356462902,2.75857021155914,0.00580548323995605,0.0481576126884226
"Mmp24",1.5879258767332,-2.05846238633815,0.746501833276474,-2.75747800551721,0.00582491318248814,0.0482966840954243
"Hectd3",1784.82686576581,0.158386865906369,0.057448307457165,2.75703276418485,0.00583285066791573,0.0483403833360643
"Topbp1",680.214582873864,0.349218833390812,0.126677903232895,2.75674623970353,0.00583796380327395,0.0483606462222762
"Dnahc17",76.4902111111581,0.587246847727611,0.213055801506105,2.75630536026865,0.00584583935234484,0.0484037634816127
"Depdc1b",17.0433568591827,1.42482042538981,0.517013700466649,2.75586589698452,0.00585369913440085,0.0484330935778491
"Arhgap15",152.461203114809,1.41540249013229,0.513606978890421,2.75580852345518,0.00585472596022441,0.0484330935778491
"9530082P21Rik",336.902214285949,-0.239456289752453,0.0868964363419283,-2.75565143788197,0.00585753818386103,0.0484342516343436
"Nipsnap3b",602.826209941329,0.299093533191634,0.108552382805508,2.75529219591169,0.00586397408835254,0.0484653581173688
"Rint1",1064.10255918541,0.319928137211614,0.116123560790093,2.75506654321359,0.00586801996829581,0.0484766918529451
"Zdhhc21",1023.66562659114,0.255403518133707,0.0927258983713162,2.75439249033702,0.00588012050704696,0.0485545258269823
"Gtpbp6",296.521384627762,0.288447844750459,0.104744241680872,2.75383009243871,0.00589023383178097,0.048615887158939
"Pram1",34.2875680259623,0.715665712378528,0.259898647699198,2.75363384424696,0.00589376655464713,0.0486229034151021
"Ccdc86",248.237629900405,0.351267637222746,0.127626216913689,2.75231567398335,0.00591754486894903,0.0487968611236129
"Ube2f",750.657309974651,0.295962408773629,0.10754381152497,2.75201710425628,0.00592294272718625,0.0488191618600504
"Gm21946",3.91411560034022,-4.47071160363848,1.62495861370673,-2.75127721157171,0.00593633841581752,0.0489073335394057
"Soga2",136.525314353445,-0.629398923040573,0.228792058871759,-2.75096489862596,0.00594200100284914,0.0489317438330944
"6030458C11Rik",748.008179256236,0.176194204774734,0.0640582250756023,2.75053210679484,0.00594985605482719,0.0489741784712728
"Slc38a7",794.475334340908,-0.295922978151637,0.107601515054328,-2.75017482794946,0.00595634761657523,0.0490053565821271
"Rprl3",1.26747812585369,2.76357240849578,1.00498106600938,2.74987509910957,0.0059617984483748,0.0490279477662401
"Kcnk3",182.741211182401,-1.21644252194983,0.442395107009291,-2.74967444864683,0.00596544996431605,0.0490357281647294
"Zfp251",662.347539394469,0.282830044756542,0.102865084046314,2.74952426645761,0.0059681843573666,0.0490359662181639
"Lsm1",321.942381862859,0.311896392094324,0.113444874283418,2.74932114883495,0.00597188435166679,0.0490441340616043
"Sh3bp4",2587.03951607368,0.481761688145435,0.175276585111709,2.74857983933447,0.00598540560279739,0.0491329151044849
"Tob2",1657.59046091078,-0.420493945213188,0.153036509909175,-2.74767077126069,0.00600202436825574,0.0492470310885628
"Usp7",3798.98022944403,0.123797101792655,0.0450740427350824,2.7465275861821,0.00602298205795651,0.0493966288689872
"Rimbp2",2.65561308402781,-2.77454411011254,1.01060388656582,-2.74543186207292,0.00604313151540709,0.0495260567335018
"Phf8",796.230771542754,0.211913058946604,0.0771891877081857,2.74537231493798,0.00604422827555895,0.0495260567335018
"1700001C19Rik",2.43589095068184,-1.65623956098449,0.603481636226391,-2.74447383575922,0.00606079856095573,0.0496341148867504
"Nphp1",402.428620071497,-0.282462715573039,0.102924787528706,-2.74436044372946,0.00606289270947671,0.0496341148867504
"Dmxl1",883.568065914022,0.22141816154429,0.0807320452492855,2.742630399869,0.00609492447031061,0.0498738176182302
"Dusp13",14.8671031193653,-1.49977736541765,0.546872497671814,-2.74246258826803,0.00609803959738664,0.0498767904795275
"Rbks",76.9619225272039,-0.505146097834588,0.184247354288154,-2.74167354959445,0.00611270594372926,0.0499552844106716
"Map2k1",1701.84402837514,0.234146355024004,0.0854034526689964,2.74164975427282,0.00611314873505487,0.0499552844106716
"Gulp1",220.050197834012,-0.408054507993691,0.148864716117892,-2.74110963722617,0.00612320718706939,0.0500149302684239
"Grem1",34.1872828807057,2.02197209115282,0.737747332103258,2.74073792363076,0.00613013816384914,0.0500489883872819
"Pik3ip1",688.722872643026,-0.634566795437636,0.231577161247449,-2.74019593305048,0.00614025678956798,0.0501014405912205
"Tyro3",642.030833484721,-0.481821593716758,0.175850513279412,-2.7399498854529,0.00614485530671907,0.0501014405912205
"Gm12657",14.3224435488129,0.775635708695781,0.283072355353507,2.74006166277576,0.00614276585534065,0.0501014405912205
"Syna",11.6068060597324,1.04423436118601,0.381203580249826,2.73930890287457,0.00615684954543743,0.0501766627747543
"Atp5sl",1277.17666708443,-0.243401844737564,0.0888697050484568,-2.73886184954532,0.00616522740319874,0.050222358059765
"Synj2bp",1684.83120179951,0.130190292919413,0.0475399478415624,2.73854513583612,0.00617116888464708,0.050242425697321
"Ap4b1",476.081271659027,-0.251541853123031,0.0918560588560246,-2.73843507173869,0.0061732348705067,0.050242425697321
"Ces1d",2427.34451919243,-0.707350504666944,0.2583256904728,-2.7382119965394,0.00617742407016423,0.0502539547898234
"Mad2l1",253.588630851591,0.540700521883607,0.197506555816536,2.73763328841532,0.00618830374970355,0.0503198768341753
"Gpr150",2.70144847971808,-2.12081625730014,0.774973261066491,-2.73663152504327,0.00620717763263504,0.0504507150634574
"Zfml",1005.52931818766,0.16320770877982,0.0596501727851092,2.73608107335714,0.00621757055486722,0.0505125353236075
"Treml2",159.012538979456,2.32776013097618,0.851036756765288,2.73520516296356,0.00623414067389803,0.0506244622376352
"Ush1g",4.03828935923913,2.34344860099365,0.857033608338477,2.73437188249463,0.00624994122762876,0.0507300424320516
"Pepd",1581.41158177974,0.277047190478307,0.101370456294889,2.73301709989714,0.00627570740384856,0.0509163816896845
"Iba57",244.265405963913,-0.217242067793127,0.0794972574949157,-2.73269889602193,0.00628177307108437,0.0509427905652815
"Ntrk1",29.6845654250325,2.43922143973915,0.892758013024849,2.7322313596207,0.00629069491888947,0.0509923279986009
"Asna1",1961.07930315551,0.254689257272859,0.0932243284164975,2.73200420532917,0.00629503374728861,0.0510046878272714
"Scd4",14.7180468355521,-0.680651122415404,0.249178617399782,-2.73157917608704,0.00630315938121467,0.0510477049975495
"Ythdc2",232.945853059772,0.227906324387415,0.0834604135134641,2.73071166069228,0.00631977369266498,0.0511594007054724
"Apol7e",13.0650063646367,-2.10121371910435,0.769786808336859,-2.72960473776378,0.00634103027041745,0.0512730545098763
"Nup62",702.231517976237,0.306891275866119,0.11243338425398,2.72953872110504,0.00634230003923546,0.0512730545098763
"Vprbp",982.16194583398,0.243702073985658,0.0892752115982831,2.72978433344139,0.00633757707290847,0.0512730545098763
"Rasal2",301.933454028374,0.243344061066932,0.089164929157107,2.72914545401773,0.00634986890759363,0.0513113570887804
"Zhx3",178.207045041401,0.393458683973964,0.144193148541842,2.72869195209917,0.00635860715425551,0.0513590707089488
"Fstl3",45.6621877585083,-0.553365332299484,0.202814811053116,-2.72842663425878,0.00636372441488738,0.0513775078039349
"4931408D14Rik",14.4385309273267,-1.50836828928738,0.552911686311691,-2.72804559322893,0.00637108014487309,0.0513960140256217
"Klk1b7-ps",36.3273602385138,-1.76231410483343,0.646006223838769,-2.72801412711044,0.00637168791810052,0.0513960140256217
"Stau2",580.503696567638,0.251913897619008,0.092401700097387,2.72629072142074,0.00640505557036664,0.0516365318749443
"Fam101b",641.563962937341,0.596963247563704,0.218974254233712,2.72618006921747,0.00640720332064826,0.0516365318749443
"Cmtm5",16.283794331045,-0.755205393434863,0.277040273552311,-2.72597692657225,0.00641114798981023,0.0516453588068046
"Klk8",76.271569564692,1.54795869779686,0.568250809973744,2.72407653562058,0.00644815617759804,0.0518973493423466
"Folr4",52.6963699499239,2.54173605730283,0.933034255453863,2.7241615647503,0.00644649622300246,0.0518973493423466
"Gas2l3",81.6595088371559,0.506430098431693,0.186023348350151,2.7224007250877,0.00648095023448948,0.0521381371505201
"Serpinb10",12.2627374837857,1.52324920414723,0.559660881656485,2.72173606209303,0.00649399857201422,0.052219546952237
"Cd19",622.691403506397,2.41366783222202,0.886858840533935,2.72159189479226,0.00649683191047142,0.052219546952237
"Blzf1",877.916993731306,0.3226226597274,0.1185930016257,2.72041904079342,0.00651992351264718,0.0522217938319858
"Adat3",130.147085897461,0.361266360008493,0.132788952332001,2.7206055448442,0.00651624661984696,0.0522217938319858
"Med4",567.116289696183,0.209334606816476,0.0769428943104552,2.7206489786027,0.00651539059914301,0.0522217938319858
"Qpct",84.0282456505489,-0.658633981400725,0.242036841031189,-2.7212137565283,0.00650426879430978,0.0522217938319858
"Dio1",290.851504745935,-1.75793135691546,0.64599805516608,-2.72126416303763,0.0065032770022094,0.0522217938319858
"Gm15612",55.8146349359836,-0.62331387111693,0.229072870443627,-2.72102877093131,0.0065079097134414,0.0522217938319858
"Fam129c",141.681943619647,0.95691561597315,0.351687217570689,2.7209280524414,0.00650989284321066,0.0522217938319858
"2810417H13Rik",133.260577352666,1.21816093431705,0.447786282310994,2.72040699422547,0.00652016107265015,0.0522217938319858
"Card11",267.603774382696,1.75829832332708,0.646378608924803,2.72022975242306,0.00652365720580624,0.0522267168088507
"Pcdhb10",11.5661617631054,0.806096331096858,0.296441214463603,2.71924513787819,0.00654310966035655,0.0523593212335375
"Ldhd",391.538584103196,-0.438357596715415,0.161223495053549,-2.71894364137074,0.00654907657482244,0.0523839421529818
"E2f2",213.144980754274,1.03414574231363,0.380449997309314,2.71821724175975,0.00656347284663254,0.0524759353088729
"4833428L15Rik",1.19128390105471,2.50687444240501,0.922403042807776,2.71776471462425,0.00657245571233904,0.0525245854436266
"Mad2l1bp",435.071926378719,0.342547528414131,0.126120253458148,2.71603901056068,0.00660681326859174,0.0527526389837997
"Dapk2",180.599671833418,0.747010091476013,0.275032594143547,2.71607841173227,0.00660602702078593,0.0527526389837997
"Phrf1",1481.63887258496,0.195025719397245,0.0718599754039123,2.71396863554488,0.00664824603150514,0.0530600877679571
"Ccdc27",45.6403383885457,-0.592384471169433,0.218285396522459,-2.71380715616715,0.00665148738938626,0.0530625919597826
"Prps1l3",1048.09622049557,0.234838200628372,0.0865395312475122,2.7136523302479,0.00665459652726478,0.0530640396201822
"Tgif1",830.998650957145,-0.397782013497859,0.146633711804263,-2.71275962807821,0.00667254883236569,0.0531837940134689
"Peli2",394.394226785971,-0.695505089198931,0.25647449052182,-2.71179050900487,0.00669208716592513,0.0533160790691838
"Slc38a6",309.015946759782,-0.287471029492037,0.106022729406984,-2.71140944116366,0.00669978392155692,0.0533539470906059
"Tvp23a",55.7437328132983,0.489162025012884,0.180433423848424,2.71103886729885,0.00670727635222406,0.0533901554168033
"Spata6",239.783039888152,-0.568953495842378,0.209996512346822,-2.70934735764905,0.00674157180397722,0.0536395912849373
"Cdc42ep3",304.197437238777,0.452010546560604,0.166861398254946,2.70889823103353,0.00675070431225147,0.0536886861165238
"Hist1h2bk",2.51058886103376,2.22642868136999,0.822216203220451,2.70783848901241,0.0067722971168379,0.0538367917731083
"Abcf2",1591.01159552003,0.266151624623274,0.0983224098419773,2.70692739377554,0.00679091076536568,0.0539610949681074
"Apol7c",13.5971506677332,-2.20173295657391,0.813576703890189,-2.70623893979035,0.00680500634201607,0.0540494040092206
"Gskip",520.960753180648,0.251052040408196,0.0928194338850328,2.70473574229242,0.00683587459208165,0.0542235657863925
"Tnik",190.272274973233,0.642323604615191,0.237460509887947,2.70497020712324,0.0068310515760943,0.0542235657863925
"Ccdc159",54.4886302727816,-0.55057385677429,0.203559330037244,-2.70473407764485,0.00683590884534659,0.0542235657863925
"Rnf168",729.678688367207,0.199615298182463,0.0738124918501607,2.70435658218506,0.00684368051095683,0.0542377390734992
"Zfp260",1147.05605855895,0.312402673304247,0.115516112947254,2.70440776904339,0.0068426262394662,0.0542377390734992
"Ncr1",51.8800091373467,0.946434452070619,0.350041107984717,2.70378087167962,0.0068555482039561,0.0543080468517065
"Mrc2",459.183468410344,-0.474246692632561,0.175413232813601,-2.7035970150354,0.00685934211737787,0.0543143625502288
"Ube2d3",6527.60442192502,0.138361680026156,0.0511974475147596,2.70251129192072,0.00688178468706818,0.0544682739969916
"Smek1",1194.08233773786,0.200777617519554,0.0743168331093154,2.70164388227123,0.00689976196381611,0.0545842029834383
"Adamts6",24.1192626657487,1.52497282533928,0.564488192060324,2.70151412693556,0.00690245479934017,0.0545842029834383
"2410018L13Rik",1.51566159063171,-2.46362683486063,0.912128484141009,-2.70096469707416,0.00691386768081033,0.0546195501934434
"Fgfbp3",91.4534586860532,-0.372219807977995,0.137807118753615,-2.70102017475226,0.00691271451697949,0.0546195501934434
"Trmt6",497.616754640719,0.224476990213157,0.0831130355977686,2.70086381274207,0.00691596511414911,0.0546195501934434
"Stk10",692.737417227018,1.20778534006026,0.447229901973529,2.70059165259426,0.00692162630459104,0.0546404515551884
"Paxip1",757.717457875456,-0.176724268215921,0.0654605288411576,-2.69970730980113,0.0069400502279828,0.0547620419600297
"Dnahc6",11.6291911150357,1.73054270853783,0.641314220793043,2.69843183330296,0.00696670040809923,0.0549484094416007
"Ephx3",21.8923199136279,0.87420425670936,0.324020678121153,2.6979890968023,0.00697597254274983,0.0549976086721795
"1700040L02Rik",74.9498186489101,-0.549925454822516,0.203843575623516,-2.69778163545458,0.00698032117330459,0.0550079657678895
"4930579G24Rik",36.1181154909073,0.774143527709534,0.287056703270282,2.69683138867734,0.00700027057973067,0.0551172477226839
"Oprd1",10.1184954190594,2.47866592202834,0.919098127421527,2.69684579706639,0.00699996770922557,0.0551172477226839
"Dlgap4",1627.94531003179,-0.306033431141268,0.113488484231333,-2.69660338856456,0.0070050648065473,0.0551310462955579
"Ppfia4",155.342477918301,-0.714019899677601,0.264879238095672,-2.69564313462614,0.00702528873208408,0.0552604489651236
"Cacna2d4",20.3999147097428,2.53271986898424,0.939598795341739,2.69553332926856,0.00702760468218538,0.0552604489651236
"0610009L18Rik",74.5764174542423,-0.433127981395471,0.160720675814452,-2.69491139954828,0.00704073500203137,0.0553157008720497
"Efcab11",7.85328357471715,1.24624396482859,0.46243899493143,2.69493701545084,0.00704019375865767,0.0553157008720497
"Eif2c2",579.54665244303,0.439310002478549,0.16302918945552,2.69467083744785,0.00704581970872106,0.0553316647402813
"Dda1",1447.17383291973,0.200672108032278,0.0744987909915624,2.69362905573872,0.00706787769379419,0.0554808502382069
"Ybey",109.384033648951,-0.297557288810915,0.110486552905998,-2.69315388148706,0.00707795928882144,0.0555119048506658
"Rnase4",1301.14585003701,-0.472997111116898,0.175622152599293,-2.69326565080948,0.00707558676010686,0.0555119048506658
"Zfp382",15.5096993098621,0.988999585363677,0.367371234550982,2.69209859768274,0.00710039504452254,0.0556637803555238
"Dscaml1",22.6128906522089,1.59844521695734,0.59391681918525,2.69136209873653,0.00711609111605018,0.0557627114044139
"Mrpl48",1053.47408606862,-0.263747083893782,0.0980248478879386,-2.69061456943342,0.00713205411041976,0.0558636476885731
"Brms1l",399.374980797687,0.214152564018355,0.0795996877928128,2.69036939662081,0.00713729661012253,0.0558757402210815
"Acox2",85.2924791301741,-0.501580785645683,0.186443648159978,-2.69025408264541,0.00713976355045654,0.0558757402210815
"Dgki",74.4982790174451,-0.945213933830959,0.351379480935536,-2.69000890807386,0.00714501117457628,0.0558926748119098
"Pitpnc1",1607.10831154687,-0.234794980067923,0.0873052041081412,-2.68935835459583,0.00715895216210492,0.055977570292559
"Zranb1",672.30931643347,-0.197678985345963,0.0735212343303268,-2.68873322308223,0.00717237137087694,0.0560583144015284
"Bcmo1",9.51883616377777,0.776247198520624,0.288736914431136,2.68842382017544,0.00717902143017565,0.0560861049232473
"Cspg4",179.972963918462,-0.529912308385027,0.19720175066776,-2.68715823561733,0.00720628055043749,0.0562748104164927
"Snrnp40",654.420702988229,0.278126763447761,0.103561514221827,2.68561893419228,0.00723956037748174,0.0565103496304292
"Pdk2",3827.97757845609,-0.35558872137899,0.132430558853839,-2.68509567924914,0.00725090456606966,0.0565745351958728
"Cklf",85.724041781598,0.736288920542763,0.274235726183835,2.68487600353424,0.00725567189707831,0.0565873722609916
"Lmnb2",452.289629899264,0.366043908448522,0.136345442646834,2.68468018690336,0.00725992381693354,0.0565961802932991
"Vps26b",2360.75646529734,0.429484837962513,0.160009564807957,2.68411978045175,0.0072721047201993,0.056645147712432
